date,manager,stage,amount
2026-05-02,Анна Лебедева,Оплачено,72000
2026-05-02,Дмитрий Орлов,Оплачено,78000
2026-05-03,Анна Лебедева,Оплачено,72000
2026-05-03,Анна Лебедева,Оплачено,60000
2026-05-04,Ирина Котова,Оплачено,85000
2026-05-04,Сергей Власов,Оплачено,78000
2026-05-05,Сергей Власов,Оплачено,125000
2026-05-05,Сергей Власов,Оплачено,85000
2026-05-05,Дмитрий Орлов,Оплачено,92000
2026-05-05,Дмитрий Орлов,Оплачено,72000
2026-05-05,Дмитрий Орлов,Договор,60000
2026-05-06,Ирина Котова,Оплачено,60000
2026-05-06,Анна Лебедева,Оплачено,85000
2026-05-06,Дмитрий Орлов,Замер,75000
2026-05-07,Ирина Котова,Оплачено,92000
2026-05-07,Ирина Котова,Оплачено,59000
2026-05-07,Сергей Власов,Оплачено,92000
2026-05-07,Сергей Власов,Оплачено,78000
2026-05-07,Анна Лебедева,Оплачено,72000
2026-05-07,Дмитрий Орлов,Договор,75000
2026-05-08,Анна Лебедева,Оплачено,68000
2026-05-08,Анна Лебедева,Оплачено,125000
2026-05-09,Ирина Котова,Оплачено,92000
2026-05-09,Сергей Власов,Оплачено,92000
2026-05-09,Анна Лебедева,Оплачено,125000
2026-05-09,Дмитрий Орлов,Договор,90000
2026-05-10,Дмитрий Орлов,Оплачено,110000
2026-05-10,Анна Лебедева,Договор,60000
2026-05-11,Сергей Власов,Оплачено,92000
2026-05-11,Сергей Власов,Оплачено,60000
2026-05-11,Анна Лебедева,Оплачено,78000
2026-05-12,Ирина Котова,Оплачено,68000
2026-05-12,Ирина Котова,Оплачено,110000
2026-05-12,Сергей Власов,Оплачено,68000
2026-05-12,Сергей Власов,Оплачено,110000
2026-05-12,Анна Лебедева,Оплачено,110000
2026-05-12,Ирина Котова,Договор,60000
2026-05-13,Ирина Котова,Оплачено,68000
2026-05-13,Дмитрий Орлов,Замер,90000
2026-05-14,Ирина Котова,Оплачено,55000
2026-05-14,Сергей Власов,Оплачено,72000
2026-05-14,Анна Лебедева,Замер,75000
2026-05-15,Анна Лебедева,Оплачено,55000
2026-05-15,Дмитрий Орлов,Оплачено,110000
2026-05-16,Ирина Котова,Оплачено,60000
2026-05-16,Ирина Котова,Оплачено,125000
2026-05-16,Сергей Власов,Оплачено,85000
2026-05-16,Анна Лебедева,Оплачено,92000
2026-05-16,Дмитрий Орлов,Оплачено,55000
2026-05-16,Дмитрий Орлов,Оплачено,72000
2026-05-16,Анна Лебедева,Договор,60000
2026-05-16,Анна Лебедева,Договор,60000
2026-05-17,Ирина Котова,Оплачено,72000
2026-05-17,Ирина Котова,Оплачено,125000
2026-05-17,Сергей Власов,Договор,90000
2026-05-18,Ирина Котова,Оплачено,60000
2026-05-18,Сергей Власов,Оплачено,72000
2026-05-18,Дмитрий Орлов,Договор,75000
2026-05-19,Анна Лебедева,Оплачено,85000
2026-05-21,Ирина Котова,Оплачено,72000
2026-05-21,Сергей Власов,Оплачено,125000
2026-05-21,Анна Лебедева,Оплачено,72000
2026-05-21,Дмитрий Орлов,Оплачено,68000
2026-05-22,Ирина Котова,Оплачено,78000
2026-05-22,Сергей Власов,Договор,60000
2026-05-23,Ирина Котова,Оплачено,92000
2026-05-23,Дмитрий Орлов,Оплачено,78000
2026-05-23,Дмитрий Орлов,Оплачено,78000
2026-05-23,Дмитрий Орлов,Оплачено,72000
2026-05-24,Сергей Власов,Оплачено,72000
2026-05-24,Дмитрий Орлов,Оплачено,125000
2026-05-24,Сергей Власов,Договор,90000
2026-05-25,Сергей Власов,Оплачено,68000
2026-05-25,Сергей Власов,Оплачено,60000
2026-05-25,Анна Лебедева,Оплачено,125000
2026-05-26,Ирина Котова,Оплачено,60000
2026-05-26,Ирина Котова,Оплачено,125000
2026-05-26,Сергей Власов,Оплачено,92000
2026-05-26,Сергей Власов,Оплачено,72000
2026-05-26,Анна Лебедева,Оплачено,125000
2026-05-27,Ирина Котова,Оплачено,92000
2026-05-27,Ирина Котова,Оплачено,78000
2026-05-27,Анна Лебедева,Оплачено,60000
2026-05-28,Ирина Котова,Оплачено,92000
2026-05-28,Сергей Власов,Оплачено,60000
2026-05-28,Анна Лебедева,Оплачено,55000
2026-05-29,Ирина Котова,Оплачено,110000
2026-05-29,Ирина Котова,Оплачено,125000
2026-05-29,Дмитрий Орлов,Оплачено,85000
2026-05-29,Дмитрий Орлов,Оплачено,60000
2026-05-29,Дмитрий Орлов,Оплачено,68000
2026-05-30,Ирина Котова,Оплачено,125000
2026-05-30,Сергей Власов,Оплачено,110000
